你掏出一把PKM對狛克掃射，造成了...,狛克的偶爾防彈特性觸發了，沒有造成傷害。,0,0
你在狛克耳邊輕聲說道「TEmPTaTiON」，狛克的手臂不自覺的開始痠痛，造成了,點傷害。,1,80
你Lost River了狛克，造成了,點真實傷害。,100,180
你用桌電主機砸向狛克，造成了,點傷害。,50,150
你用人孔蓋掀翻狛克，造成了,點傷害。,1,100
你/tp 狛克 0 -64 0，造成了,點虛空傷害。,20,150
你舉起了壓路機丟向狛克，狛克說了句「是和我同類型的替身呢」之後就瞬間移動到你面前。,很遺憾，沒有命中。,0,0
你把狛克埋進雪地裡，造成了,點傷害，然後抗寒的雪狼狛克在地上做出了雪天使。,1,15
你把馬鈴薯砸向狛克，造成了,點傷害。,1,60
你把狛克國中時的群組聊天紀錄給狛克看，狛克只看了一眼就驚慌失措的狂奔，造成了,點真實傷害。,120,200
你普攻巴龍之後丟下被擊飛的狛克走掉，巴龍對狛克造成了,點傷害。,10,100
你用Pocky刺向狛克，狛克敏捷的叼住另外一端吃掉了。狛克回復了,點血量。,-50,-1
你在八月把狛克拖出房間，狛克瞬間融化成液體，造成了,點傷害。,1,100
你對狛克打出了一組同花順。造成了...,狛克打出一張迴轉，攻擊被免疫了。,0,0
你無聲無息的站在狛克背後，十分鐘後轉頭的狛克嗚汪啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！,a,20,80
你用鞭子抽向狛克，造成了,點傷害。,1,100
你用椰子丟向狛克，造成了,點傷害。,20,120
你用板磚拍向狛克，造成了,點傷害。,1,90
你在狛克附近剖開了榴槤，對鼻子靈敏的狛克造成了,點傷害。,40,70
你用加了瀉藥的巧克力丟向狛克，狛克瞬間接住吃掉之後才發現不對勁。在三小時後造成了,點傷害。,20,100
你拉著狛克上了計程車從台北開到高雄，易暈車的狛克到了之後跪地狂吐。造成了,點傷害。,30,120
你用起司片甩了狛克一巴掌，造成了,點傷害。,1,80
你在狛克面前買走了最後一個薯餅，造成了,點真實傷害。,70,120
木板不足以支撐兩個人的重量，你成功把狛克趕了下水，冰冷的海水對狛克造成了,點傷害。,40,90
真相只有一個！你把麻醉針射向了狛克的頸部，造成了,點傷害。,1,10
你觸發了雪狛bot的bug，咚！Discord沒有回應，狛克來不及儲存剛剛寫的程式。兩小時心血白費的狛克受到,點真實傷害。,100,150
狛克太久沒有回去以爾索拉，你告知狛克兩隻小狸貓決定離他而去的消息，造成了,點傷害。,80,120
你偷偷溜進了狛克的房間，把Discord介面設定成明亮，在深夜使用Discord的狛克受到了,點傷害。,1,100
你用力把足球踢向狛克，但是狛克成功抓住了，周圍的小朋友一擁而上稱讚狛克，被治癒的狛克回復了,點血量。,-100,-1
你用正太音對著狛克說「あいしてる」，心臟爆擊的狛克回復了,點血量，隨即幸福的閉上眼睛。,-130,-1
狛克爬上了一連串的階梯，回到宿舍狛克才發現東西漏了在教室，看著那又長又陡斜的階梯，狛克受到了,點真實傷害。,1,150
你上前追問狛克之前的點歌活動甚麼時候唱你的歌，狛克因為心理壓力受到了,點真實傷害。,1,70
你把珍奶丟給狛克，狛克感激地接住並且開始狂喝才發現那是無糖的，狛克受到了,點傷害。,50,150
你扯著狛克的毛試圖把藍色的部分撕掉，造成了,點傷害。,1,100
你用烤吐司砸向狛克，狛克飛撲並瞬間啃完，回復了,點血量。,-80,-40
你把狛克Live a Hero帳號的石頭抽光，而且還沒抽到任何新角，狛克受到了,點真實傷害，而且狛克從今以後都會恨你。,100,120
你不小心把鬧鬼魔鏡玩裂，還留在鬼屋裡的狛克瞬間被鬼...,狛克光速燒掉手上的聖木，逃過了鬼的攻擊。,0,0
你咬了狛克一口，造成了,點傷害。,1,50
你在狛克打Maimai時連機故意選了那個很會魔法的阿嬤，完全跟不上的狛克不小心撞到指甲，造成了,點傷害。,60,140
你用字典砸向狛克，可是是用角，造成了,點傷害。,1,150
你故意推薦了一本還沒完結的小說給狛克，看完卻看不到結局的狛克產生了強烈的怨念，造成了,點真實傷害。,1,80
你發現狛克房間沒鎖走了進去，躺在床上的狛克嗚汪啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！,a,100,200
你用棒球丟向狛克，造成了,點傷害。,1,100
你用十字架砸向狛克，很可惜狛克是神聖屬性不會被超渡，造成了,點傷害。,1,10
你用融化的冰淇淋砸向狛克，全身變得黏答答的狛克精神不堪重負，造成了,點真實傷害。,70,170
你拿著雪花冰朝狛克灌下去，狛克成功在碗到達地面前全部解決，回復了,點血量。,-90,-30
你用在太陽下曬了三小時的鐵板襲向狛克，狛克用魔法強制降溫，只造成了,點傷害。,1,30
你用飛鏢射向狛克，造成了,點傷害。,1,100
你拿燒成焦炭的吐司強制餵食狛克，造成了,點傷害。,50,120
你叫來了FBI，被帶走審訊的狛克被FBI造成了,點傷害，而且狛克雙腿發軟的回來。,100,200
你在狛克在的語音頻道裡炸麥，造成了,點傷害。,1,100
你在跟狛克剪刀石頭布的時候往狛克臉上出了石頭，造成了,點傷害。,1,70
你把狛克的棉被搶走，造成了,點寒氣傷害。,50,100
你扯著狛克的毛試圖把藍色的部分撕掉，造成了...,狛克抓住你拿起一捆藍色膠帶把你纏成木乃伊，反過來對你造成了owowowo點傷害。,0,0
你想不到該怎麼打狛克，但是狛克仍然受到了,點傷害。,1,100
你開著卡車撞向叼著吐司剛跑到路口的狛克，狛克受到了,點傷害。,50,250
你開著卡車撞向叼著吐司剛跑到路口的狛克，狛克受到了...,狛克身上發出女神的光芒！你被傳送到異世界了！,0,0
你掏出精靈球往狛克頭頂bonk下去，造成了,點傷害。,50,100
你在殯儀師狛克面前把鴨腿給報警了，造成了,點真實傷害，並且他會恨你。,40,90
你拿熊皮袋把狛克整隻裝起來綁住，造成了,點窒息傷害。,1,70
你強行餵了狛克耐久值1%的生狼肉，上吐下瀉的狛克受到了,點傷害。,80,160
你用望潮吸取狛克的靈魂，造成了,點真實傷害。,40,100
你用青鸞朝著狛克射擊，造成了...,狛克迅速位移，躲掉了這發攻擊！,0,0
你塞了一隻長得很怪的五格狗給狛克，回想起某款拼圖遊戲恐懼的狛克受到了,點真實傷害。,20,110
你對狛克使用了危險的杵，狛克拚死防禦，但仍然受到了,點傷害。,100,200
你對狛克使用了危險的杵，造成了...,你忘記你有危險的缽了！危險的杵對你造成了owowowo點傷害！,0,0
你舉起消防斧砍向狛克，造成了,點傷害。,70,150
你對狛克使用了急救，回復了,點血量。,-40,-1
你對狛克使用了急救，回復了......大失敗！你的醫療包敲到了狛克的腳，造成了,點傷害，並且伴隨著狛克的淒厲悲鳴。,1,40
你對狛克扔了一個黑色的酷盤子，上面的毒對狛克造成了,點傷害。,20,100
你用普通心理學課本砸向狛克，造成了,點傷害。,50,100
